SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
LINDEINDIA, EQ, 31-Aug-2021,2343.7,2360.5,2379.95,2273,2292,2290.55,2312.09,236668,5471.98,15568,103872,43.89
LIQUIDBEES, EQ, 31-Aug-2021,999.99,1003.4,1003.4,997.21,1000,1000,1000,1623661,16236.67,5370,1257948,77.48
LIQUIDETF, EQ, 31-Aug-2021,1000,999.99,1000.01,999.99,999.99,999.99,1000,27139,271.39,39,17294,63.72
LODHA, EQ, 31-Aug-2021,933.8,938.8,973.25,922.25,966,958.5,947.74,400421,3794.94,12289,190341,47.54
LOKESHMACH, EQ, 31-Aug-2021,47.75,49.25,49.25,45.6,46.3,46,46.7,153100,71.49,1477,103979,67.92
LOTUSEYE, BE, 31-Aug-2021,43.4,45.2,45.2,42.6,43.5,43.65,43.54,2660,1.16,57, -, -
LOVABLE, EQ, 31-Aug-2021,106.95,106.5,109.2,106.05,106.7,106.3,106.89,11086,11.85,525,7454,67.24
LPDC, BE, 31-Aug-2021,4.35,4.55,4.55,4.15,4.25,4.25,4.31,25229,1.09,182, -, -
LSIL, BE, 31-Aug-2021,3.2,3.35,3.35,3.05,3.1,3.05,3.15,2121354,66.74,2621, -, -
LT, EQ, 31-Aug-2021,1660.1,1660.05,1676,1645,1673.1,1672.2,1666.51,3264644,54405.68,80714,1953994,59.85
LTI, EQ, 31-Aug-2021,5272.95,5300,5375,5245,5334.35,5312.45,5309.45,282387,14993.2,36995,110342,39.07
LTTS, EQ, 31-Aug-2021,3908.95,3925.05,3963.95,3899.1,3923,3919.55,3924.31,199497,7828.88,18889,72265,36.22
LUMAXIND, EQ, 31-Aug-2021,1453.15,1460.45,1460.45,1435,1444.9,1443.5,1444.27,2270,32.78,316,1603,70.62
LUMAXTECH, EQ, 31-Aug-2021,144.45,146,147,142.25,142.7,142.7,144.7,65850,95.28,2500,37411,56.81
LUPIN, EQ, 31-Aug-2021,952.5,954.4,959.9,947.35,955.75,957.85,955.86,1286167,12293.9,35706,675856,52.55
LUXIND, EQ, 31-Aug-2021,3955.05,3985,4024.9,3940.05,3963,3994.75,3984.59,65515,2610.51,7373,40134,61.26
LXCHEM, EQ, 31-Aug-2021,462.35,472,493.75,431,442.5,443.75,463.21,20384738,94424.91,346477,4297844,21.08
LYKALABS, EQ, 31-Aug-2021,80.35,82.8,82.8,77.2,77.65,78.2,78.59,172831,135.83,2399,103859,60.09
LYPSAGEMS, EQ, 31-Aug-2021,4.55,4.7,4.75,4.4,4.75,4.75,4.62,40729,1.88,89,33399,82
M&M, EQ, 31-Aug-2021,791.55,788,795.8,781.3,793.15,793.3,789.09,3324467,26233.19,74059,1878752,56.51
M&MFIN, EQ, 31-Aug-2021,159.7,159.5,161.2,158.2,160.05,160.15,159.84,8068293,12895.96,61810,3553216,44.04
